section,code,answer1,answer2,answer3,correct
Simple operations,3 + 10,'error','None',13,1
Simple operations,3 = 10,'None','error',None,0
Simple operations,3 == 10,False,,,1
Simple operations,2 ** 10,1024,,,1
Simple operations,'3 + 10',3 + 10,,,1
Simple operations,3 * '10','10''10''10',error,None,0
Simple operations,a*10,error,,,1
Simple operations,'a' * 10,aaaaaaaaaa,,,1
Simple operations,int('3') + int('10'),13,,,1
Simple operations,int('hello world'),error,,,1
Simple operations,10 / 5,2,error,2,0
Simple operations,int(10 / 5),2,,,1
Simple operations,10 / 4,"2,5",2.5,,1
Simple operations,10 // 4,2,,,1
Simple operations,int(10/4),2,,,1
Simple operations,int(10)/4,2.5,,,1
Simple operations,"type(""True"")",error,None,True,0
Simple operations,type(True),error,<class 'str'>,<class 'value'>,0
